month_start,API,Authentication/Authorization tools,Build/CI,CLI tooling,Documentation/Help,Key Management Core (secret engine),Notification/Logging,Policy/configuration,Signing workflow,Verification workflow,Web Client
2023-07-01,65.14589916746125,35.41711805461487,58.53703272018346,66.69333297077165,42.24177358462951,19.79991635749041,36.52793074291951,49.07197261931709,21.9297908818345,22.44512697586132,47.09192826967136
2023-08-01,63.50009263614772,34.67045803620917,57.02175314998651,65.05357801415211,41.22788920111381,19.376273571956204,35.61857995593611,47.89224263813663,21.28359017543068,21.801297688316723,45.97921219771193
2023-09-01,61.8958647640151,33.939539027058544,55.54569784636339,63.45413887619067,40.238340006580586,18.961695128235093,34.73186715684221,46.74087432155223,20.656430934365357,21.17593638056773,44.892788042484135
2023-10-01,60.33216513300601,33.22402917683452,54.107851456689694,61.89402433241973,39.27254190935978,18.55598708394141,33.86722878039655,45.617185832167635,20.047752067635912,20.568513306167073,43.83203456295182
2023-11-01,58.80796986218872,32.52360363124289,52.707224911584625,60.372267529101855,38.32992483711272,18.15895964631772,33.0241152911286,44.52051172451002,19.4570090177947,19.978513914227648,42.79634519713139
2023-12-01,57.32228093733891,31.837944384534108,51.34285474454744,58.887925384039306,37.40993240034109,17.770427083448624,32.20199083407215,43.450202550954906,18.883673273758067,19.405438413544115,41.78512771524629
2024-01-01,55.87412555745923,31.16674013512292,50.013802429205576,57.44007800211526,36.5120215639721,17.39020763737421,31.40033289419358,42.4056244771249,18.327231897971423,18.848801349217453,40.797803881077115
2024-02-01,54.462555497807195,30.509686144251848,48.71915373371899,56.02782810520488,35.63566232682657,17.018123439062517,30.61863196429869,41.3861589065346,17.787187067507222,18.308131191423843,39.833809121313585
2024-03-01,53.08664648901596,29.86648409763444,47.45801809189589,54.65030047610288,34.78033740878016,16.654000425201293,29.85639122120685,40.39120211425929,17.263055628685283,17.782969935979654,38.892592202719186
2024-04-01,51.74549761189995,29.236841970015096,46.229527990587926,53.30664141612292,33.94554194543341,16.297668256770123,29.11312620998659,39.42016488941064,16.75436866481709,17.272872716363928,37.973614916923886
2024-05-01,50.43823070755014,28.62047389258449,45.03283837294299,51.99601821603281,33.13078319011033,15.94896023935476,28.38836453605218,38.47247218620742,16.26067107668719,16.777407426869903,37.076351772665
2024-06-01,49.16398980233219,28.01710002318993,43.86712605710547,50.71761863999744,32.335580223009536,15.607713245166392,27.681645564925276,37.54756278343494,15.781521175396543,16.296154356566312,36.20028969529972
2024-07-01,47.92194054741109,27.426446419282055,42.731589169963826,49.47065042220988,31.559463667336363,15.273767636729517,26.99252012947092,36.64488895209121,15.31649028720346,15.82870583375829,35.34492773341784
2024-08-01,46.71126967243545,26.84824491353996,41.62544659555606,48.2543407758984,30.801975412248343,14.946967192202456,26.32055024442186,35.76391613102323,14.86516237000856,15.374665880646788,34.50977677238685
2024-09-01,45.5311844530232,26.282232992118477,40.547937437753774,47.0679359144055,30.062668342450575,14.627159032295877,25.66530882800955,34.90412261036124,14.427133641140744,14.933649877893998,33.69435925466553
2024-10-01,44.38091219170097,25.728153675462135,39.49832049685497,45.91070058404164,29.341106074281196,14.31419354875486,25.02637943052523,34.06499922256345,14.00201221611111,14.505284238810503,32.89820890672602
2024-11-01,43.259699711956195,25.185755401631887,38.475873759725815,44.78191760842472,28.63686269813148,14.007924334371218,24.403355969638252,33.246049040888316,13.589417758011605,14.089206092888276,32.1208704724286
2024-12-01,42.16681286507145,24.654791912091454,37.479893903140315,43.68088744402247,27.94952252704824,13.708208114493328,23.79584247230366,32.44678708511578,13.188981137244836,13.685062978411407,31.3618994526962
2025-01-01,41.10153604941777,24.13502213990154,36.50969580997671,42.60692774662264,27.2786798513703,13.414904680001309,23.203452823094832,31.666740034343224,12.800344101280483,13.292512543884165,30.620861851340106
2025-02-01,40.06317174189223,23.626210100271095,35.56461209793733,41.559372948462006,26.62393869925416,13.12787682171635,22.625810518801316,30.905445946686022,12.423158954142975,12.911222258023423,29.89733392689156
2025-03-01,39.05104004119304,23.128124783416062,34.64399266046792,40.5375738457525,25.984912602947556,12.846990266213409,22.06254842913593,30.16245398571674,12.05708824534366,12.540869128069955,29.19090195029708
2025-04-01,38.06447822263297,22.64054004967671,33.74720421956085,39.540897196348354,25.361224370672783,12.572113613007213,21.513308563398855,29.43732415348093,11.70180446797904,12.18113942617971,28.501161968339147
2025-05-01,37.10284030419989,22.163234526846235,32.87362989013412,38.56872532730544,24.75250586398538,12.303118273082353,20.97774184295068,28.72962702993147,11.35698976572526,11.831728423663524,27.827719572647013
2025-06-01,36.16549662357977,21.6959915096638,32.02266875568699,37.620455752089235,24.15839778047661,12.039878408738494,20.45550787934956,28.03894351862707,11.022335648466363,11.49234013285007,27.170189674165332
2025-07-01,35.25183342586596,21.238598861426453,31.19373545494,36.69550079719428,23.578549441691464,11.782270874722744,19.946274758011647,27.364864598544536,10.69754271630215,11.162687056353311,26.52819628295182
2025-08-01,34.36125246168389,20.79084891767524,30.386259779175163,35.793287237943815,23.01261858613708,11.530175160621516,19.449718827257183,26.706991081857353,10.382320391688667,10.842489943532136,25.90137229317807
2025-09-01,33.493170595468776,20.35253839191188,29.599686279999396,34.91325594324383,22.46027116725935,11.283473334485008,18.96552449260819,26.064933377537905,10.076386659471575,10.531477553935892,25.289359273210383
2025-10-01,32.647019423639485,19.923468283302988,28.83347388726128,34.054861529071275,21.92118115626847,11.042049987657892,18.493384016207145,25.438311260642433,9.779467814579975,10.22938642753529,24.691807260650723
2025-11-01,31.822244902418635,19.503443786330177,28.08709553685833,33.21757202048185,21.39503034969706,10.805792180790451,18.032997321228972,24.826753647142983,9.491298217154876,9.935960661544236,24.108374562220636
