model_set,tool,theme_col,theme_or_category,beta,p_value,n_obs,n_months,df_resid,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,total_count
tool_by_Associated_Component_Theme,openpubkey/openpubkey,Associated Component Theme,CLI tooling,0.04555126038557146,8.886633501520408e-06,49,49,47.0,4.817134271581793,3.388515526361348,True,False,0.673469387755102,0.3705787706759781,0.003706970426245975,True,60
tool_by_Associated_Component_Theme,openpubkey/openpubkey,Associated Component Theme,Documentation/Help,0.041608254957920726,4.170858539102906e-05,49,49,47.0,4.17806539828986,3.2844959909424345,True,False,0.6938775510204082,0.36484673048852323,1.080603821075847e-05,True,59
tool_by_Associated_Component_Theme,openpubkey/openpubkey,Associated Component Theme,Notification/Logging,0.03365585733310058,0.002783534551747151,49,49,47.0,3.93397660892675,2.698651033376448,True,False,0.7142857142857143,0.4338474897325759,0.00010851551916467143,True,45
tool_by_Associated_Component_Theme,openpubkey/openpubkey,Associated Component Theme,Policy/configuration,0.040356843057544015,0.0011571296433042194,49,49,47.0,2.629451967894522,2.2083945735830217,True,False,0.7346938775510204,0.49209362324063527,5.397714982320023e-05,True,39
tool_by_Associated_Component_Theme,openpubkey/openpubkey,Associated Component Theme,Signing workflow,0.02032855853111439,0.08791995812806089,49,49,47.0,3.961507040263897,2.525122444658343,True,False,0.7551020408163265,0.48066792408788245,5.211420065098563e-05,True,37
tool_by_Associated_Component_Theme,openpubkey/openpubkey,Associated Component Theme,Verification workflow,0.026230964712462248,0.05938514899338815,49,49,47.0,2.682051754388846,1.82020281746708,True,False,0.7551020408163265,0.5767773450325792,3.234185723275463e-05,True,28
tool_by_Associated_Component_Theme,openpubkey/openpubkey,Associated Component Theme,Web Client,0.03210197685963637,0.0033682960144962044,49,49,47.0,4.318564385431802,2.922212032442609,True,False,0.7346938775510204,0.41648594835439146,1.042220002374221e-05,True,47
tool_by_Associated_Component_Theme,sigstore/cosign,Associated Component Theme,API,-0.03630726436691539,2.2236696305060057e-30,49,49,47.0,1.9112105851035837,1.7339553057637005,True,False,0.0,0.0015336334557049655,0.5051305404401852,False,579
tool_by_Associated_Component_Theme,sigstore/cosign,Associated Component Theme,Authentication/Authorization tools,-0.027251642814524805,1.6547562947376957e-08,49,49,47.0,1.06204695826146,1.0890307404524218,False,False,0.02040816326530612,0.02510105325859532,0.47577265210444664,False,234
tool_by_Associated_Component_Theme,sigstore/cosign,Associated Component Theme,Build/CI,-0.03459067936664402,1.1031151791025973e-31,49,49,47.0,2.4735520519711085,2.061256756224154,True,False,0.0,0.0005882519674414035,0.22059320309883754,False,658
tool_by_Associated_Component_Theme,sigstore/cosign,Associated Component Theme,CLI tooling,-0.0315884591430413,8.084950490036865e-26,49,49,47.0,2.2134507910898167,1.8404485570101166,True,False,0.0,0.000521624708584854,0.159021364879592,False,621
tool_by_Associated_Component_Theme,sigstore/cosign,Associated Component Theme,Documentation/Help,-0.028463894903443806,1.7304587900362665e-14,49,49,47.0,1.2067232887819068,1.1746208296606615,False,False,0.0,0.003700919484555326,0.07495661722811124,False,399
tool_by_Associated_Component_Theme,sigstore/cosign,Associated Component Theme,Notification/Logging,-0.028065087283825504,3.2619622481661494e-10,49,49,47.0,1.5316585247985175,1.4540001286680078,True,False,0.02040816326530612,0.01565202534895665,0.3855249525357708,False,275
tool_by_Associated_Component_Theme,sigstore/cosign,Associated Component Theme,Policy/configuration,-0.03262961790346083,3.3453019031590266e-18,49,49,47.0,1.8321186879089313,1.5627831081788464,True,False,0.0,0.005428063834053147,0.2037519926268058,False,402
tool_by_Associated_Component_Theme,sigstore/cosign,Associated Component Theme,Signing workflow,-0.04357938809198492,2.6510834838673033e-27,49,49,47.0,1.7012680006055059,1.505511808371817,True,False,0.0,0.016678794549750266,0.6317850125848883,False,382
tool_by_Associated_Component_Theme,sigstore/cosign,Associated Component Theme,Verification workflow,-0.033152377976335294,1.1705293189787105e-26,49,49,47.0,2.2226433537697323,1.8747126028474026,True,False,0.0,0.0008940065245369616,0.20968760679091794,False,590
tool_by_Associated_Component_Theme,sigstore/cosign,Associated Component Theme,Web Client,-0.0352244657722885,4.944439402315136e-23,49,49,47.0,1.4318769654825292,1.263109735919811,False,False,0.0,0.0042243280204257725,0.24456973622717934,False,454
