category,month,month_start,count,expected_count
Unexpected behavior,2023-10,2023-10-01,28,28.614352264318967
Unexpected behavior,2023-11,2023-11-01,42,27.98558822764744
Unexpected behavior,2023-12,2023-12-01,35,27.37064048184139
Unexpected behavior,2024-01,2024-01-01,37,26.769205431462584
Unexpected behavior,2024-02,2024-02-01,28,26.18098615219676
Unexpected behavior,2024-03,2024-03-01,40,25.605692244264283
Unexpected behavior,2024-04,2024-04-01,37,25.04303968905169
Unexpected behavior,2024-05,2024-05-01,22,24.49275070889369
Unexpected behavior,2024-06,2024-06-01,24,23.95455362993632
Unexpected behavior,2024-07,2024-07-01,27,23.42818274801338
Unexpected behavior,2024-08,2024-08-01,15,22.913378197470124
Unexpected behavior,2024-09,2024-09-01,18,22.409885822869423
Unexpected behavior,2024-10,2024-10-01,14,21.917457053516987
Unexpected behavior,2024-11,2024-11-01,18,21.435848780743733
Unexpected behavior,2024-12,2024-12-01,20,20.964823237884683
Unexpected behavior,2025-01,2025-01-01,21,20.504147882895257
Unexpected behavior,2025-02,2025-02-01,16,20.053595283546876
Unexpected behavior,2025-03,2025-03-01,21,19.6129430051452
Unexpected behavior,2025-04,2025-04-01,16,19.18197350071574
Unexpected behavior,2025-05,2025-05-01,18,18.76047400360232
Unexpected behavior,2025-06,2025-06-01,17,18.348236422425785
Unexpected behavior,2025-07,2025-07-01,17,17.945057238350604
Unexpected behavior,2025-08,2025-08-01,14,17.550737404609098
Unexpected behavior,2025-09,2025-09-01,10,17.16508224823344
Unexpected behavior,2025-10,2025-10-01,21,16.787901373946926
Unexpected behavior,2025-11,2025-11-01,3,16.41900857016717
Performance issue,2021-11,2021-11-01,18,35.61845240192507
Performance issue,2021-12,2021-12-01,25,34.78310581073716
Performance issue,2022-01,2022-01-01,26,33.967350298901486
Performance issue,2022-02,2022-02-01,27,33.170726403969454
Performance issue,2022-03,2022-03-01,31,32.39278543909797
Performance issue,2022-04,2022-04-01,30,31.633089240333067
Performance issue,2022-05,2022-05-01,33,30.89120991982034
Performance issue,2022-06,2022-06-01,24,30.166729624803445
Performance issue,2022-07,2022-07-01,39,29.45924030227453
Performance issue,2022-08,2022-08-01,23,28.768343469144288
Performance issue,2022-09,2022-09-01,34,28.09364998780219
Performance issue,2022-10,2022-10-01,28,27.434779846940376
Performance issue,2022-11,2022-11-01,31,26.791361947517725
Performance issue,2022-12,2022-12-01,32,26.163033893743812
Performance issue,2023-01,2023-01-01,35,25.549441788964693
Performance issue,2023-02,2023-02-01,32,24.95024003633571
Performance issue,2023-03,2023-03-01,32,24.36509114416917
Performance issue,2023-04,2023-04-01,25,23.79366553584701
Performance issue,2023-05,2023-05-01,27,23.235641364191512
Performance issue,2023-06,2023-06-01,24,22.690704330189636
Performance issue,2023-07,2023-07-01,27,22.158547505968603
Performance issue,2023-08,2023-08-01,23,21.638871161923248
