tool,theme_col,theme,beta,se,p_value,rr_per_month,rr_ci_low,rr_ci_high,pct_change_per_month,pct_ci_low,pct_ci_high,n_months,total_count,n_obs,df_resid,pearson_chi2,deviance,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,sig_0_05
notaryproject/notation,L1_Theme Secondary,Operational Friction,-0.024960704841978255,0.0047149548318961565,1.1970638179510242e-07,0.9753482377384485,0.9663762611482262,0.9844035114533745,-2.4651762261551524,-3.3623738851773832,-1.5596488546625542,49,242,49,47.0,232.1407308326485,206.28653034261953,4.939164485801032,4.389075113672756,True,False,0.12244897959183673,0.019835147519037283,6.08855500647399e-05,True,True
notaryproject/notation,L1_Theme Secondary,Functional Gap,-0.024433780744029163,0.00565041017900864,1.5305232834648053e-05,0.9758623076548243,0.9651144489813627,0.986729858315269,-2.413769234517571,-3.488555101863733,-1.3270141684730952,49,168,49,47.0,142.658101971518,147.8357264472024,3.0352787653514466,3.145440988238349,True,False,0.1836734693877551,0.05555525670428681,0.0004802849668231775,True,True
notaryproject/notation,L1_Theme Secondary,Functional Reliability,-0.022744333979143244,0.006418597230039289,0.00039484521650843526,0.977512368525995,0.9652918534598826,0.9898875943025996,-2.248763147400501,-3.4708146540117446,-1.011240569740035,49,129,49,47.0,149.6286776237951,139.4837542827223,3.183588885612662,2.9677394528238783,True,False,0.22448979591836735,0.09707107746244485,0.004388544109718006,True,True
openpubkey/openpubkey,L1_Theme Secondary,Functional Reliability,0.026532858871196267,0.011237436841051766,0.01822017493153186,1.0268879890874865,1.0045176566433156,1.0497565026938829,2.6887989087486464,0.4517656643315604,4.975650269388288,49,43,49,47.0,179.96086009917425,127.61053721048326,3.828954470195197,2.7151178129890057,True,False,0.7551020408163265,0.4370411157645027,4.548891835896427e-06,True,True
openpubkey/openpubkey,L1_Theme Secondary,Cognitive Friction,0.03554364170739898,0.00878018985230124,5.1621142160617946e-05,1.036182867930857,1.0185035779073246,1.054169036891799,3.61828679308569,1.8503577907324598,5.416903689179908,49,75,49,47.0,238.71682152069093,189.45703403697857,5.079081308950871,4.031000724191033,True,False,0.673469387755102,0.27376496162979996,1.0363773065117294e-06,True,True
openpubkey/openpubkey,L1_Theme Secondary,Operational Friction,0.03573527153568889,0.007890774159053513,5.933621009003071e-06,1.0363814505024798,1.020476172538139,1.0525346302541732,3.638145050247976,2.047617253813905,5.253463025417315,49,93,49,47.0,341.3711159473701,253.65330342784932,7.263215232922767,5.396878796337219,True,False,0.6938775510204082,0.21209742031882314,2.409870805747931e-05,True,True
openpubkey/openpubkey,L1_Theme Secondary,Functional Gap,0.03888088276619618,0.009212497266372173,2.438152870741184e-05,1.0396466364426693,1.0210427286634198,1.058589516700683,3.9646636442669303,2.104272866341983,5.858951670068291,49,70,49,47.0,294.68757350020985,194.20698623908953,6.26994837234489,4.132063537001905,True,False,0.6938775510204082,0.30446552583369685,0.00023273988787420445,True,True
sigstore/cosign,L1_Theme Secondary,Functional Gap,-0.03747466276235763,0.004317526280375792,3.96951571829099e-18,0.9632188227158557,0.9551021180985367,0.9714045051865332,-3.6781177284144317,-4.489788190146326,-2.8595494813466793,49,315,49,47.0,53.691660786676955,53.945920978586514,1.1423757614186587,1.1477855527358833,False,False,0.02040816326530612,0.01921151274096289,0.10055085338369896,False,True
sigstore/cosign,L1_Theme Secondary,Functional Reliability,-0.03479789953618388,0.0038792324958504347,2.956938826762698e-19,0.9658005852812663,0.9584851637505726,0.9731718401145459,-3.4199414718733667,-4.151483624942742,-2.682815988545406,49,382,49,47.0,51.04371861644704,53.524496373754715,1.0860365663073839,1.1388190717820152,False,False,0.02040816326530612,0.008121731819524513,0.21199255574056042,False,True
sigstore/cosign,L1_Theme Secondary,Operational Friction,-0.03457700168135036,0.0030522405544845285,9.492292324315212e-30,0.9660139521240232,0.9602521304014737,0.9718103466306481,-3.398604787597681,-3.9747869598526275,-2.8189653369351864,49,616,49,47.0,95.77131566007736,82.05763169216739,2.0376875672356887,1.7459070572801572,True,False,0.0,0.0008620035892463524,0.2326083865834986,False,True
sigstore/cosign,L1_Theme Secondary,Cognitive Friction,-0.03338400835746118,0.0030660434164583163,1.3106023700990265e-27,0.9671670880246414,0.9613723794406812,0.9729967244349995,-3.2832911975358647,-3.8627620559318787,-2.7003275565000484,49,605,49,47.0,100.95690408821316,85.37463037730193,2.148019235919429,1.8164814973894028,True,False,0.0,0.0008012853175106909,0.12392335346703473,False,True
sigstore/fulcio,L1_Theme Secondary,Cognitive Friction,-0.055609382743423745,0.007041635559374194,2.851805313567556e-15,0.9459085519390878,0.9329431724161417,0.9590541150692935,-5.409144806091215,-6.705682758385834,-4.09458849307065,49,141,49,47.0,47.09266880538192,49.878475608340324,1.0019716767102536,1.0612441618795814,False,False,0.1836734693877551,0.18465018259478294,0.5002703981560284,False,True
sigstore/fulcio,L1_Theme Secondary,Operational Friction,-0.05313846274800487,0.0061672725625147055,6.921194591024533e-18,0.9482487062703362,0.936855413104099,0.9597805556399707,-5.1751293729663805,-6.314458689590097,-4.021944436002933,49,179,49,47.0,68.98670748073033,68.04613513333248,1.4678022868240497,1.4477901092198402,False,False,0.12244897959183673,0.12827047108815331,0.13816221036580723,False,True
sigstore/fulcio,L1_Theme Secondary,Functional Gap,-0.04379619216699522,0.006564175426750513,2.5233697472632786e-11,0.9571490120615559,0.9449134187998356,0.9695430428472733,-4.28509879384441,-5.508658120016441,-3.045695715272667,49,144,49,47.0,66.93871841395107,69.65010852590501,1.4242280513606609,1.48191720267883,False,False,0.14285714285714285,0.13578682527973504,0.2439409373601775,False,True
sigstore/fulcio,L1_Theme Secondary,Functional Reliability,-0.04267158183757973,0.0077593683095365405,3.811660425720653e-08,0.9582260372306115,0.9437632453360052,0.9729104655901049,-4.1773962769388495,-5.62367546639948,-2.7089534409895144,49,102,49,47.0,56.4769095844616,61.01792950984076,1.201636374137481,1.2982538193583142,False,False,0.22448979591836735,0.21082590742304214,0.024073253555285515,True,True
sigstore/rekor,L1_Theme Secondary,Functional Gap,-0.06123423774793875,0.006999437286453054,2.163002633492475e-18,0.9406028892673272,0.927786966204163,0.9535958442246047,-5.939711073267285,-7.2213033795836985,-4.640415577539525,49,152,49,47.0,43.58873084409641,45.820668860782575,0.9274198051935406,0.9749078481017569,False,False,0.14285714285714285,0.19169033877906172,0.13978493172255485,False,True
sigstore/rekor,L1_Theme Secondary,Operational Friction,-0.05672670803590469,0.006377756880549357,5.87036706280364e-19,0.944852254613383,0.9331147349040767,0.9567374189410549,-5.514774538661705,-6.68852650959233,-4.326258105894509,49,174,49,47.0,42.41701767843668,49.18944514127097,0.9024897378390783,1.0465839391759781,False,False,0.12244897959183673,0.147107667753153,0.5514166432328547,False,True
sigstore/rekor,L1_Theme Secondary,Cognitive Friction,-0.056448963525243326,0.006159167387205754,4.9532474934963805e-20,0.9451147185877646,0.9337739145130035,0.9565932581840082,-5.4885281412235365,-6.622608548699649,-4.34067418159918,49,186,49,47.0,46.57440388776741,52.9034999343789,0.9909447635695193,1.1256063815825297,False,False,0.14285714285714285,0.13383825280060643,0.8291517877075234,False,True
sigstore/rekor,L1_Theme Secondary,Functional Reliability,-0.0511822934921933,0.00793276639691832,1.1037580045103522e-10,0.9501054567033753,0.9354472557871345,0.9649933475917355,-4.989454329662468,-6.45527442128655,-3.5006652408264505,49,106,49,47.0,37.84312459578367,45.17865925747451,0.8051728637400781,0.9612480693079682,False,False,0.24489795918367346,0.23246734700853494,0.244015950722162,False,True
