category,month,month_start,count,expected_count
Unexpected behavior,2025-09,2025-09-01,5,8.54002096946599
Unexpected behavior,2025-10,2025-10-01,19,8.355674962239132
Unexpected behavior,2025-11,2025-11-01,1,8.175308271983734
Integration failure/issues,2021-11,2021-11-01,11,21.664029747384774
Integration failure/issues,2021-12,2021-12-01,16,21.19618728727981
Integration failure/issues,2022-01,2022-01-01,22,20.738448052199427
Integration failure/issues,2022-02,2022-02-01,27,20.29059385939067
Integration failure/issues,2022-03,2022-03-01,16,19.852411237835057
Integration failure/issues,2022-04,2022-04-01,19,19.423691326496986
Integration failure/issues,2022-05,2022-05-01,18,19.004229774769527
Integration failure/issues,2022-06,2022-06-01,20,18.593826645070102
Integration failure/issues,2022-07,2022-07-01,17,18.19228631753963
Integration failure/issues,2022-08,2022-08-01,19,17.799417396799754
Integration failure/issues,2022-09,2022-09-01,22,17.415032620723686
Integration failure/issues,2022-10,2022-10-01,9,17.038948771177132
Integration failure/issues,2022-11,2022-11-01,20,16.67098658668686
Integration failure/issues,2022-12,2022-12-01,13,16.310970676995176
Integration failure/issues,2023-01,2023-01-01,18,15.958729439459646
Integration failure/issues,2023-02,2023-02-01,23,15.614094977258189
Integration failure/issues,2023-03,2023-03-01,15,15.276903019360573
Integration failure/issues,2023-04,2023-04-01,18,14.946992842228113
Integration failure/issues,2023-05,2023-05-01,22,14.624207193204368
Integration failure/issues,2023-06,2023-06-01,9,14.308392215560177
Integration failure/issues,2023-07,2023-07-01,10,13.99939737515739
Integration failure/issues,2023-08,2023-08-01,17,13.69707538869634
Integration failure/issues,2023-09,2023-09-01,9,13.401282153512833
Integration failure/issues,2023-10,2023-10-01,10,13.111876678891148
Integration failure/issues,2023-11,2023-11-01,19,12.828721018860453
Integration failure/issues,2023-12,2023-12-01,21,12.55168020644242
Integration failure/issues,2024-01,2024-01-01,12,12.28062218931882
Integration failure/issues,2024-02,2024-02-01,11,12.015417766888405
Integration failure/issues,2024-03,2024-03-01,17,11.755940528683059
Integration failure/issues,2024-04,2024-04-01,12,11.502066794113864
Integration failure/issues,2024-05,2024-05-01,14,11.253675553518404
Integration failure/issues,2024-06,2024-06-01,13,11.010648410481144
Integration failure/issues,2024-07,2024-07-01,13,10.772869525399427
Integration failure/issues,2024-08,2024-08-01,6,10.54022556026819
Integration failure/issues,2024-09,2024-09-01,13,10.312605624657076
Integration failure/issues,2024-10,2024-10-01,8,10.089901222854161
Integration failure/issues,2024-11,2024-11-01,7,9.87200620215119
Integration failure/issues,2024-12,2024-12-01,10,9.65881670224555
Integration failure/issues,2025-01,2025-01-01,11,9.450231105734959
Integration failure/issues,2025-02,2025-02-01,7,9.246149989681228
Integration failure/issues,2025-03,2025-03-01,8,9.04647607822004
Integration failure/issues,2025-04,2025-04-01,10,8.851114196194095
Integration failure/issues,2025-05,2025-05-01,10,8.65997122378762
Integration failure/issues,2025-06,2025-06-01,6,8.472956052140523
Integration failure/issues,2025-07,2025-07-01,7,8.289979539921083
Integration failure/issues,2025-08,2025-08-01,4,8.110954470836477
Integration failure/issues,2025-09,2025-09-01,8,7.935795512060883
Integration failure/issues,2025-10,2025-10-01,12,7.764419173561317
Integration failure/issues,2025-11,2025-11-01,0,7.596743768301887
Notification/Logging /Web UI Issues,2021-11,2021-11-01,14,16.776537329592955
Notification/Logging /Web UI Issues,2021-12,2021-12-01,13,16.416965165827033
Notification/Logging /Web UI Issues,2022-01,2022-01-01,12,16.065099725946702
Notification/Logging /Web UI Issues,2022-02,2022-02-01,28,15.720775831445284
Notification/Logging /Web UI Issues,2022-03,2022-03-01,18,15.38383184409334
Notification/Logging /Web UI Issues,2022-04,2022-04-01,10,15.05410959005977
Notification/Logging /Web UI Issues,2022-05,2022-05-01,8,14.731454285659222
Notification/Logging /Web UI Issues,2022-06,2022-06-01,8,14.415714464690954
Notification/Logging /Web UI Issues,2022-07,2022-07-01,8,14.10674190733508
Notification/Logging /Web UI Issues,2022-08,2022-08-01,14,13.804391570572772
Notification/Logging /Web UI Issues,2022-09,2022-09-01,10,13.508521520097748
Notification/Logging /Web UI Issues,2022-10,2022-10-01,6,13.21899286368711
Notification/Logging /Web UI Issues,2022-11,2022-11-01,10,12.935669686000265
Notification/Logging /Web UI Issues,2022-12,2022-12-01,22,12.658418984775306
Notification/Logging /Web UI Issues,2023-01,2023-01-01,15,12.387110608392872
Notification/Logging /Web UI Issues,2023-02,2023-02-01,9,12.121617194778203
Notification/Logging /Web UI Issues,2023-03,2023-03-01,17,11.861814111612748
Notification/Logging /Web UI Issues,2023-04,2023-04-01,20,11.607579397827195
Notification/Logging /Web UI Issues,2023-05,2023-05-01,14,11.358793706348473
Notification/Logging /Web UI Issues,2023-06,2023-06-01,20,11.11534024807387
Notification/Logging /Web UI Issues,2023-07,2023-07-01,13,10.877104737045963
Notification/Logging /Web UI Issues,2023-08,2023-08-01,6,10.643975336802614
Notification/Logging /Web UI Issues,2023-09,2023-09-01,14,10.415842607876842
Notification/Logging /Web UI Issues,2023-10,2023-10-01,10,10.192599456421918
Notification/Logging /Web UI Issues,2023-11,2023-11-01,18,9.974141083937619
Notification/Logging /Web UI Issues,2023-12,2023-12-01,12,9.76036493807397
Notification/Logging /Web UI Issues,2024-01,2024-01-01,12,9.551170664489424
Notification/Logging /Web UI Issues,2024-02,2024-02-01,7,9.346460059740851
Notification/Logging /Web UI Issues,2024-03,2024-03-01,9,9.14613702518326
Notification/Logging /Web UI Issues,2024-04,2024-04-01,11,8.950107521857584
Notification/Logging /Web UI Issues,2024-05,2024-05-01,9,8.758279526345355
Notification/Logging /Web UI Issues,2024-06,2024-06-01,5,8.570562987569524
Notification/Logging /Web UI Issues,2024-07,2024-07-01,16,8.386869784521213
Notification/Logging /Web UI Issues,2024-08,2024-08-01,8,8.207113684892489
Notification/Logging /Web UI Issues,2024-09,2024-09-01,3,8.031210304595762
Notification/Logging /Web UI Issues,2024-10,2024-10-01,10,7.859077068150797
Notification/Logging /Web UI Issues,2024-11,2024-11-01,4,7.690633169920775
Notification/Logging /Web UI Issues,2024-12,2024-12-01,8,7.525799536179177
Notification/Logging /Web UI Issues,2025-01,2025-01-01,5,7.364498787989675
Notification/Logging /Web UI Issues,2025-02,2025-02-01,11,7.206655204881623
Notification/Logging /Web UI Issues,2025-03,2025-03-01,5,7.052194689304118
Notification/Logging /Web UI Issues,2025-04,2025-04-01,4,6.901044731841882
Notification/Logging /Web UI Issues,2025-05,2025-05-01,5,6.753134377176699
Notification/Logging /Web UI Issues,2025-06,2025-06-01,6,6.608394190778393
Notification/Logging /Web UI Issues,2025-07,2025-07-01,9,6.466756226309717
Notification/Logging /Web UI Issues,2025-08,2025-08-01,2,6.32815399372986
Notification/Logging /Web UI Issues,2025-09,2025-09-01,4,6.192522428081587
Notification/Logging /Web UI Issues,2025-10,2025-10-01,10,6.059797858947373
Notification/Logging /Web UI Issues,2025-11,2025-11-01,0,5.9299179805601785
Tedious Workflows,2021-11,2021-11-01,12,14.943179059906956
Tedious Workflows,2021-12,2021-12-01,17,14.524836010512788
Tedious Workflows,2022-01,2022-01-01,9,14.118204719792912
Tedious Workflows,2022-02,2022-02-01,9,13.722957310204144
Tedious Workflows,2022-03,2022-03-01,11,13.338775083327144
Tedious Workflows,2022-04,2022-04-01,14,12.965348262891466
Tedious Workflows,2022-05,2022-05-01,12,12.602375744994783
Tedious Workflows,2022-06,2022-06-01,10,12.249564855314855
Tedious Workflows,2022-07,2022-07-01,14,11.906631113118495
Tedious Workflows,2022-08,2022-08-01,9,11.573298001877271
Tedious Workflows,2022-09,2022-09-01,13,11.24929674630489
Tedious Workflows,2022-10,2022-10-01,10,10.934366095636609
Tedious Workflows,2022-11,2022-11-01,19,10.62825211297586
Tedious Workflows,2022-12,2022-12-01,17,10.330707970538203
Tedious Workflows,2023-01,2023-01-01,8,10.04149375062759
Tedious Workflows,2023-02,2023-02-01,15,9.760376252184376
Tedious Workflows,2023-03,2023-03-01,15,9.487128802749163
Tedious Workflows,2023-04,2023-04-01,9,9.221531075690804
Tedious Workflows,2023-05,2023-05-01,8,8.963368912551228
Tedious Workflows,2023-06,2023-06-01,9,8.712434150363821
Tedious Workflows,2023-07,2023-07-01,6,8.468524453806133
Tedious Workflows,2023-08,2023-08-01,6,8.231443152051565
Tedious Workflows,2023-09,2023-09-01,10,8.000999080188484
Tedious Workflows,2023-10,2023-10-01,8,7.777006425078933
Tedious Workflows,2023-11,2023-11-01,10,7.55928457553256
Tedious Workflows,2023-12,2023-12-01,11,7.347657976675068
Tedious Workflows,2024-01,2024-01-01,9,7.141955988393681
Tedious Workflows,2024-02,2024-02-01,5,6.942012747745518
Tedious Workflows,2024-03,2024-03-01,4,6.747667035217923
Tedious Workflows,2024-04,2024-04-01,3,6.558762144732914
Tedious Workflows,2024-05,2024-05-01,7,6.375145757290944
Tedious Workflows,2024-06,2024-06-01,5,6.19666981815206
Tedious Workflows,2024-07,2024-07-01,3,6.023190417455466
Tedious Workflows,2024-08,2024-08-01,6,5.854567674181199
Tedious Workflows,2024-09,2024-09-01,2,5.6906656233603785
Tedious Workflows,2024-10,2024-10-01,7,5.53135210644305
Tedious Workflows,2024-11,2024-11-01,4,5.3764986647352675
Tedious Workflows,2024-12,2024-12-01,4,5.225980435819456
Tedious Workflows,2025-01,2025-01-01,5,5.079676052874547
Tedious Workflows,2025-02,2025-02-01,8,4.9374675468147045
Tedious Workflows,2025-03,2025-03-01,3,4.799240251167744
Tedious Workflows,2025-04,2025-04-01,4,4.664882709616524
Tedious Workflows,2025-05,2025-05-01,3,4.534286586128778
Tedious Workflows,2025-06,2025-06-01,8,4.407346577602907
Tedious Workflows,2025-07,2025-07-01,4,4.283960328959318
Tedious Workflows,2025-08,2025-08-01,4,4.164028350608812
Tedious Workflows,2025-09,2025-09-01,1,4.047453938231509
Tedious Workflows,2025-10,2025-10-01,11,3.934143094801599
Tedious Workflows,2025-11,2025-11-01,0,3.824004454795062
Configuration friction,2021-11,2021-11-01,7,11.374868046527496
Configuration friction,2021-12,2021-12-01,7,11.157522042398675
Configuration friction,2022-01,2022-01-01,11,10.944328990666094
Configuration friction,2022-02,2022-02-01,14,10.735209538531555
Configuration friction,2022-03,2022-03-01,3,10.530085849435421
Configuration friction,2022-04,2022-04-01,12,10.328881574084999
Configuration friction,2022-05,2022-05-01,15,10.131521822036488
Configuration friction,2022-06,2022-06-01,13,9.93793313381994
Configuration friction,2022-07,2022-07-01,9,9.748043453596832
Configuration friction,2022-08,2022-08-01,10,9.561782102340086
Configuration friction,2022-09,2022-09-01,17,9.379079751526572
Configuration friction,2022-10,2022-10-01,9,9.199868397332255
Configuration friction,2022-11,2022-11-01,9,9.024081335320435
Configuration friction,2022-12,2022-12-01,10,8.851653135613613
Configuration friction,2023-01,2023-01-01,5,8.682519618539779
Configuration friction,2023-02,2023-02-01,7,8.516617830744023
Configuration friction,2023-03,2023-03-01,12,8.353886021756614
Configuration friction,2023-04,2023-04-01,10,8.19426362100879
Configuration friction,2023-05,2023-05-01,5,8.03769121528773
Configuration friction,2023-06,2023-06-01,9,7.884110526622296
Configuration friction,2023-07,2023-07-01,11,7.733464390591341
Configuration friction,2023-08,2023-08-01,9,7.585696735046476
Configuration friction,2023-09,2023-09-01,6,7.440752559241405
Configuration friction,2023-10,2023-10-01,4,7.298577913360027
Configuration friction,2023-11,2023-11-01,11,7.1591198784357495
Configuration friction,2023-12,2023-12-01,7,7.022326546654443
Configuration friction,2024-01,2024-01-01,5,6.888147002033788
Configuration friction,2024-02,2024-02-01,4,6.756531301471793
Configuration friction,2024-03,2024-03-01,10,6.627430456157415
Configuration friction,2024-04,2024-04-01,6,6.50079641333639
Configuration friction,2024-05,2024-05-01,4,6.376582038425467
Configuration friction,2024-06,2024-06-01,6,6.2547410974684
Configuration friction,2024-07,2024-07-01,5,6.135228239927156
Configuration friction,2024-08,2024-08-01,5,6.017998981801956
Configuration friction,2024-09,2024-09-01,6,5.903009689073828
Configuration friction,2024-10,2024-10-01,3,5.790217561463558
Configuration friction,2024-11,2024-11-01,3,5.679580616500946
Configuration friction,2024-12,2024-12-01,3,5.571057673898474
Configuration friction,2025-01,2025-01-01,7,5.464608340223549
Configuration friction,2025-02,2025-02-01,7,5.360192993863623
Configuration friction,2025-03,2025-03-01,6,5.257772770278593
Configuration friction,2025-04,2025-04-01,5,5.15730954753499
Configuration friction,2025-05,2025-05-01,7,5.058765932116581
Configuration friction,2025-06,2025-06-01,5,4.962105245006087
Configuration friction,2025-07,2025-07-01,6,4.867291508032849
Configuration friction,2025-08,2025-08-01,5,4.774289430481361
Configuration friction,2025-09,2025-09-01,4,4.683064395955675
Configuration friction,2025-10,2025-10-01,8,4.593582449494798
Configuration friction,2025-11,2025-11-01,2,4.505810284934281
Build/CI/installation/distribution release issues,2021-11,2021-11-01,6,8.505847038444362
Build/CI/installation/distribution release issues,2021-12,2021-12-01,8,8.343032143709813
Build/CI/installation/distribution release issues,2022-01,2022-01-01,3,8.183333774563797
Build/CI/installation/distribution release issues,2022-02,2022-02-01,8,8.02669227594981
Build/CI/installation/distribution release issues,2022-03,2022-03-01,10,7.873049134700188
Build/CI/installation/distribution release issues,2022-04,2022-04-01,3,7.72234695767861
Build/CI/installation/distribution release issues,2022-05,2022-05-01,9,7.574529450340969
Build/CI/installation/distribution release issues,2022-06,2022-06-01,10,7.429541395706666
Build/CI/installation/distribution release issues,2022-07,2022-07-01,10,7.287328633732386
Build/CI/installation/distribution release issues,2022-08,2022-08-01,2,7.1478380410807
Build/CI/installation/distribution release issues,2022-09,2022-09-01,8,7.011017511275948
Build/CI/installation/distribution release issues,2022-10,2022-10-01,8,6.8768159352399385
Build/CI/installation/distribution release issues,2022-11,2022-11-01,10,6.745183182200245
Build/CI/installation/distribution release issues,2022-12,2022-12-01,7,6.616070080963943
Build/CI/installation/distribution release issues,2023-01,2023-01-01,5,6.4894284015497865
Build/CI/installation/distribution release issues,2023-02,2023-02-01,5,6.365210837171983
Build/CI/installation/distribution release issues,2023-03,2023-03-01,6,6.243370986568827
Build/CI/installation/distribution release issues,2023-04,2023-04-01,2,6.123863336669584
Build/CI/installation/distribution release issues,2023-05,2023-05-01,8,6.006643245593156
Build/CI/installation/distribution release issues,2023-06,2023-06-01,10,5.89166692597219
Build/CI/installation/distribution release issues,2023-07,2023-07-01,8,5.778891428596375
Build/CI/installation/distribution release issues,2023-08,2023-08-01,2,5.668274626368835
Build/CI/installation/distribution release issues,2023-09,2023-09-01,7,5.559775198569635
Build/CI/installation/distribution release issues,2023-10,2023-10-01,5,5.453352615420477
Build/CI/installation/distribution release issues,2023-11,2023-11-01,12,5.348967122944887
Build/CI/installation/distribution release issues,2023-12,2023-12-01,9,5.246579728118175
Build/CI/installation/distribution release issues,2024-01,2024-01-01,2,5.146152184301657
Build/CI/installation/distribution release issues,2024-02,2024-02-01,6,5.047646976955692
Build/CI/installation/distribution release issues,2024-03,2024-03-01,9,4.951027309626181
Build/CI/installation/distribution release issues,2024-04,2024-04-01,7,4.856257090199325
Build/CI/installation/distribution release issues,2024-05,2024-05-01,4,4.763300917419464
Build/CI/installation/distribution release issues,2024-06,2024-06-01,2,4.672124067665008
Build/CI/installation/distribution release issues,2024-07,2024-07-01,10,4.5826924819774835
Build/CI/installation/distribution release issues,2024-08,2024-08-01,3,4.494972753338861
Build/CI/installation/distribution release issues,2024-09,2024-09-01,3,4.408932114192431
Build/CI/installation/distribution release issues,2024-10,2024-10-01,3,4.324538424202529
Build/CI/installation/distribution release issues,2024-11,2024-11-01,4,4.241760158248571
Build/CI/installation/distribution release issues,2024-12,2024-12-01,5,4.160566394648896
Build/CI/installation/distribution release issues,2025-01,2025-01-01,2,4.080926803610031
Build/CI/installation/distribution release issues,2025-02,2025-02-01,7,4.002811635897037
Build/CI/installation/distribution release issues,2025-03,2025-03-01,2,3.9261917117207394
Build/CI/installation/distribution release issues,2025-04,2025-04-01,3,3.8510384098376647
Build/CI/installation/distribution release issues,2025-05,2025-05-01,2,3.7773236568586257
Build/CI/installation/distribution release issues,2025-06,2025-06-01,2,3.7050199167619513
Build/CI/installation/distribution release issues,2025-07,2025-07-01,7,3.634100180607452
Build/CI/installation/distribution release issues,2025-08,2025-08-01,3,3.564537956447281
Build/CI/installation/distribution release issues,2025-09,2025-09-01,1,3.4963072594299027
Build/CI/installation/distribution release issues,2025-10,2025-10-01,4,3.4293826020935034
Build/CI/installation/distribution release issues,2025-11,2025-11-01,0,3.3637389848451904
Security concerns,2021-11,2021-11-01,5,9.964797407050808
Security concerns,2021-12,2021-12-01,13,9.645643524904191
Security concerns,2022-01,2022-01-01,5,9.336711546558368
Security concerns,2022-02,2022-02-01,8,9.037674083492758
Security concerns,2022-03,2022-03-01,6,8.748214232830698
Security concerns,2022-04,2022-04-01,6,8.468025241503826
Security concerns,2022-05,2022-05-01,10,8.196810181172625
Security concerns,2022-06,2022-06-01,9,7.93428163355869
Security concerns,2022-07,2022-07-01,13,7.680161385855199
Security concerns,2022-08,2022-08-01,10,7.434180135892822
Security concerns,2022-09,2022-09-01,5,7.196077206748607
Security concerns,2022-10,2022-10-01,5,6.965600270495439
Security concerns,2022-11,2022-11-01,4,6.742505080799245
Security concerns,2022-12,2022-12-01,6,6.526555214080655
Security concerns,2023-01,2023-01-01,11,6.317521818966749
Security concerns,2023-02,2023-02-01,7,6.115183373767397
Security concerns,2023-03,2023-03-01,11,5.919325451719192
Security concerns,2023-04,2023-04-01,13,5.729740493748172
Security concerns,2023-05,2023-05-01,3,5.546227588510532
Security concerns,2023-06,2023-06-01,5,5.36859225947822
Security concerns,2023-07,2023-07-01,4,5.196646258843787
Security concerns,2023-08,2023-08-01,3,5.030207368026081
Security concerns,2023-09,2023-09-01,4,4.869099204565368
Security concerns,2023-10,2023-10-01,5,4.713151035203241
Security concerns,2023-11,2023-11-01,7,4.56219759494924
Security concerns,2023-12,2023-12-01,3,4.4160789119424235
Security concerns,2024-01,2024-01-01,3,4.274640137922295
Security concerns,2024-02,2024-02-01,6,4.137731384129434
Security concerns,2024-03,2024-03-01,4,4.005207562461931
Security concerns,2024-04,2024-04-01,4,3.876928231719267
Security concerns,2024-05,2024-05-01,2,3.752757448770733
Security concerns,2024-06,2024-06-01,2,3.632563624490637
