repo,month,month_start,usability_issue_count
Keyfactor/ejbca-ce,2023-11,2023-11-01,9
Keyfactor/signserver-ce,2023-11,2023-11-01,3
hashicorp/vault,2023-11,2023-11-01,51
notaryproject/notation,2023-11,2023-11-01,7
openpubkey/openpubkey,2023-11,2023-11-01,7
sigstore/cosign,2023-11,2023-11-01,17
sigstore/fulcio,2023-11,2023-11-01,0
sigstore/rekor,2023-11,2023-11-01,5
Keyfactor/ejbca-ce,2023-12,2023-12-01,11
Keyfactor/signserver-ce,2023-12,2023-12-01,1
hashicorp/vault,2023-12,2023-12-01,37
notaryproject/notation,2023-12,2023-12-01,2
openpubkey/openpubkey,2023-12,2023-12-01,4
sigstore/cosign,2023-12,2023-12-01,11
sigstore/fulcio,2023-12,2023-12-01,1
sigstore/rekor,2023-12,2023-12-01,5
Keyfactor/ejbca-ce,2024-01,2024-01-01,2
Keyfactor/signserver-ce,2024-01,2024-01-01,0
hashicorp/vault,2024-01,2024-01-01,49
notaryproject/notation,2024-01,2024-01-01,3
openpubkey/openpubkey,2024-01,2024-01-01,5
sigstore/cosign,2024-01,2024-01-01,8
sigstore/fulcio,2024-01,2024-01-01,1
sigstore/rekor,2024-01,2024-01-01,2
Keyfactor/ejbca-ce,2024-02,2024-02-01,8
Keyfactor/signserver-ce,2024-02,2024-02-01,0
hashicorp/vault,2024-02,2024-02-01,35
notaryproject/notation,2024-02,2024-02-01,6
openpubkey/openpubkey,2024-02,2024-02-01,5
sigstore/cosign,2024-02,2024-02-01,8
sigstore/fulcio,2024-02,2024-02-01,2
sigstore/rekor,2024-02,2024-02-01,1
Keyfactor/ejbca-ce,2024-03,2024-03-01,4
Keyfactor/signserver-ce,2024-03,2024-03-01,0
hashicorp/vault,2024-03,2024-03-01,41
notaryproject/notation,2024-03,2024-03-01,5
openpubkey/openpubkey,2024-03,2024-03-01,19
sigstore/cosign,2024-03,2024-03-01,16
sigstore/fulcio,2024-03,2024-03-01,2
sigstore/rekor,2024-03,2024-03-01,3
Keyfactor/ejbca-ce,2024-04,2024-04-01,4
Keyfactor/signserver-ce,2024-04,2024-04-01,0
hashicorp/vault,2024-04,2024-04-01,44
notaryproject/notation,2024-04,2024-04-01,3
openpubkey/openpubkey,2024-04,2024-04-01,17
sigstore/cosign,2024-04,2024-04-01,9
sigstore/fulcio,2024-04,2024-04-01,1
sigstore/rekor,2024-04,2024-04-01,4
Keyfactor/ejbca-ce,2024-05,2024-05-01,1
Keyfactor/signserver-ce,2024-05,2024-05-01,2
hashicorp/vault,2024-05,2024-05-01,32
notaryproject/notation,2024-05,2024-05-01,2
openpubkey/openpubkey,2024-05,2024-05-01,2
sigstore/cosign,2024-05,2024-05-01,4
sigstore/fulcio,2024-05,2024-05-01,2
sigstore/rekor,2024-05,2024-05-01,0
Keyfactor/ejbca-ce,2024-06,2024-06-01,2
Keyfactor/signserver-ce,2024-06,2024-06-01,1
hashicorp/vault,2024-06,2024-06-01,32
notaryproject/notation,2024-06,2024-06-01,6
openpubkey/openpubkey,2024-06,2024-06-01,0
sigstore/cosign,2024-06,2024-06-01,7
sigstore/fulcio,2024-06,2024-06-01,4
sigstore/rekor,2024-06,2024-06-01,3
Keyfactor/ejbca-ce,2024-07,2024-07-01,2
Keyfactor/signserver-ce,2024-07,2024-07-01,1
hashicorp/vault,2024-07,2024-07-01,40
notaryproject/notation,2024-07,2024-07-01,3
openpubkey/openpubkey,2024-07,2024-07-01,0
sigstore/cosign,2024-07,2024-07-01,13
sigstore/fulcio,2024-07,2024-07-01,1
sigstore/rekor,2024-07,2024-07-01,4
Keyfactor/ejbca-ce,2024-08,2024-08-01,2
Keyfactor/signserver-ce,2024-08,2024-08-01,0
hashicorp/vault,2024-08,2024-08-01,20
notaryproject/notation,2024-08,2024-08-01,3
openpubkey/openpubkey,2024-08,2024-08-01,2
sigstore/cosign,2024-08,2024-08-01,8
sigstore/fulcio,2024-08,2024-08-01,5
sigstore/rekor,2024-08,2024-08-01,3
Keyfactor/ejbca-ce,2024-09,2024-09-01,2
Keyfactor/signserver-ce,2024-09,2024-09-01,0
hashicorp/vault,2024-09,2024-09-01,21
notaryproject/notation,2024-09,2024-09-01,4
openpubkey/openpubkey,2024-09,2024-09-01,1
sigstore/cosign,2024-09,2024-09-01,7
sigstore/fulcio,2024-09,2024-09-01,4
sigstore/rekor,2024-09,2024-09-01,1
Keyfactor/ejbca-ce,2024-10,2024-10-01,2
Keyfactor/signserver-ce,2024-10,2024-10-01,2
hashicorp/vault,2024-10,2024-10-01,25
notaryproject/notation,2024-10,2024-10-01,2
openpubkey/openpubkey,2024-10,2024-10-01,0
sigstore/cosign,2024-10,2024-10-01,6
sigstore/fulcio,2024-10,2024-10-01,2
sigstore/rekor,2024-10,2024-10-01,3
Keyfactor/ejbca-ce,2024-11,2024-11-01,2
Keyfactor/signserver-ce,2024-11,2024-11-01,4
hashicorp/vault,2024-11,2024-11-01,18
