repo,issue_number,issue_author,issue_text_words,issue_text_chars,comment_count,unique_commenters,comment_text_words,comment_text_chars,comment_authors_joined,unique_thread_participants,total_text_words,total_text_chars
hashicorp/vault,24553,nia-potato,106,623,0,0,0,0,,1,106,623
hashicorp/vault,24551,JadeLeng,321,2128,5,3,666,3849,bakjos|banks|james0209,4,987,5977
hashicorp/vault,24550,lennarkivistik,161,965,0,0,0,0,,1,161,965
hashicorp/vault,24538,maxenced,216,1544,5,5,152,912,bryangwilliam|haseoleonard|noahg1|rjhornsby|suxiaoxiaomm,6,368,2456
hashicorp/vault,24535,weejeff,333,2077,9,4,535,3068,hashishaw|hellobontempo|sgmiller|weejeff,4,868,5145
hashicorp/vault,24504,cfreeman29,248,1744,2,2,29,168,hashishaw|marcboudreau,3,277,1912
hashicorp/vault,24500,alexdawn,318,2034,2,1,39,228,marcboudreau,2,357,2262
hashicorp/vault,24499,icc-garciaju,375,3008,1,1,116,699,marcboudreau,2,491,3707
hashicorp/vault,24498,ghost,356,2377,3,3,54,320,florianrusch|florianrusch-zf|nia-potato,4,410,2697
hashicorp/vault,24489,rforberger,227,1648,4,2,485,3590,marcboudreau|rforberger,2,712,5238
hashicorp/vault,24478,mattias-fjellstrom,126,789,0,0,0,0,,1,126,789
hashicorp/vault,24419,RNDM-01,948,5822,3,2,175,995,RNDM-01|miagilepner,2,1123,6817
hashicorp/vault,24401,ptimofee,548,4305,4,2,209,1248,miagilepner|ptimofee,2,757,5553
hashicorp/vault,24400,Stratouklos,573,4820,2,2,141,868,Stratouklos|miagilepner,2,714,5688
hashicorp/vault,24393,mikaello,320,2305,0,0,0,0,,1,320,2305
hashicorp/vault,24376,lboynton,297,1981,9,6,708,4012,KKatsnel|aphorise|lboynton|marcboudreau|miagilepner|nilune,6,1005,5993
hashicorp/vault,24371,GiamBoscaro,347,2642,8,2,1224,7606,GiamBoscaro|miagilepner,2,1571,10248
hashicorp/vault,24337,luispresuelVenafi,265,2003,2,2,178,1344,luispresuelVenafi|miagilepner,2,443,3347
hashicorp/vault,24319,hskiba,448,3210,0,0,0,0,,1,448,3210
hashicorp/vault,24309,ktrushin,830,9978,1,1,38,210,victorr,2,868,10188
hashicorp/vault,24303,Tim-herbie,158,983,2,2,106,595,Tim-herbie|biazmoreira,2,264,1578
hashicorp/vault,24301,emper0r,490,2901,3,2,167,932,emper0r|miagilepner,2,657,3833
hashicorp/vault,24289,Plipplopplip,175,1075,11,3,841,5419,Plipplopplip|marcboudreau|miagilepner,3,1016,6494
hashicorp/vault,24288,Shaeli,467,2931,4,3,107,779,Shaeli|miagilepner|rowansmithhc,3,574,3710
hashicorp/vault,24269,BradErz,223,1456,3,3,54,308,bapung|feiyunzhou|g0tbread,4,277,1764
hashicorp/vault,24267,bearoz,225,1405,3,2,125,760,bearoz|miagilepner,2,350,2165
hashicorp/vault,24265,rjhornsby,539,3155,0,0,0,0,,1,539,3155
hashicorp/vault,24255,benvanstaveren,90,552,0,0,0,0,,1,90,552
hashicorp/vault,24254,benvanstaveren,258,1508,2,1,39,189,miagilepner,2,297,1697
hashicorp/vault,24253,bovy89,221,1556,0,0,0,0,,1,221,1556
hashicorp/vault,24245,benvanstaveren,436,3346,3,1,435,2709,benvanstaveren,1,871,6055
hashicorp/vault,24244,2775468731,274,1972,6,5,208,1132,2775468731|Monkeychip|heatherezell|hellobontempo|miagilepner,5,482,3104
hashicorp/vault,24210,rdxmb,602,4827,0,0,0,0,,1,602,4827
hashicorp/vault,24209,bozaro,435,3353,1,1,360,2239,marcboudreau,2,795,5592
hashicorp/vault,24190,ghost,1254,8865,11,5,774,6159,austingebauer|ghost|miagilepner|nia-potato|ntang86,5,2028,15024
hashicorp/vault,24180,filipetavares,466,3225,0,0,0,0,,1,466,3225
hashicorp/vault,24167,Testhat,127,882,1,1,101,576,stevendpclark,2,228,1458
hashicorp/vault,24164,sjones4,265,1745,0,0,0,0,,1,265,1745
hashicorp/vault,24160,maxiscoding28,291,1723,1,1,25,151,Monkeychip,2,316,1874
hashicorp/vault,24158,jacekn,203,1236,0,0,0,0,,1,203,1236
hashicorp/vault,24157,rvojcik,320,2764,4,4,72,391,Dasio|adcsikos|delamart|miagilepner,5,392,3155
hashicorp/vault,24156,robertdebock,300,2322,0,0,0,0,,1,300,2322
hashicorp/vault,24154,Aravindpogu,132,683,0,0,0,0,,1,132,683
hashicorp/vault,24151,kevin-loehfelm,197,1252,0,0,0,0,,1,197,1252
hashicorp/vault,24131,tsiamer,1446,13129,5,2,1910,13441,stevendpclark|tsiamer,2,3356,26570
hashicorp/vault,24130,MagnoBooter,360,2350,2,2,82,508,Monkeychip|makrelas,3,442,2858
hashicorp/vault,24114,stanych23,304,1915,5,4,262,1554,NoamY8|Slevy35|hagaimaya|stevendpclark,5,566,3469
hashicorp/vault,24107,andrej-gomozov,165,1133,4,2,421,8496,andrej-gomozov|stevendpclark,2,586,9629
hashicorp/vault,24098,remriver,206,1449,3,2,49,268,remriver|sgmiller,2,255,1717
hashicorp/vault,24094,ChrisJBurns,25,184,0,0,0,0,,1,25,184
hashicorp/vault,24085,mehmetakbulut,156,991,0,0,0,0,,1,156,991
hashicorp/vault,24084,mehmetakbulut,189,1235,1,1,14,85,mehmetakbulut,1,203,1320
