category,month_start,expected_count
Core,2023-08-01,23.651351991885655
Key Management Core / Secrets Backend,2023-08-01,11.66196025189618
Notification/Logging,2023-08-01,5.277343823923348
Policy/configuration,2023-08-01,17.362597584848267
Release pipeline,2023-08-01,2.438672836392397
Signing workflow,2023-08-01,8.412106501266198
Verification workflow,2023-08-01,7.878586892614121
Web Client,2023-08-01,7.764634457441348
API,2023-09-01,12.944193314141827
Authentication/Authorization tools,2023-09-01,9.995642555203672
Build/CI/Installation,2023-09-01,6.9094359805342815
CLI tooling,2023-09-01,21.95147265357177
Core,2023-09-01,22.925724549813523
Key Management Core / Secrets Backend,2023-09-01,11.384221957866863
Notification/Logging,2023-09-01,5.1619210715539285
Policy/configuration,2023-09-01,16.867386246257905
Release pipeline,2023-09-01,2.3925944679862954
Signing workflow,2023-09-01,8.20189635521895
Verification workflow,2023-09-01,7.617096414245991
Web Client,2023-09-01,7.640369675601696
API,2023-10-01,12.554426104283914
Authentication/Authorization tools,2023-10-01,9.75278853239077
Build/CI/Installation,2023-10-01,6.75822427191737
CLI tooling,2023-10-01,21.286021259146345
Core,2023-10-01,22.22235947924848
Key Management Core / Secrets Backend,2023-10-01,11.113098208760023
Notification/Logging,2023-10-01,5.04902277319187
Policy/configuration,2023-10-01,16.386299192278194
Release pipeline,2023-10-01,2.347386743646623
Signing workflow,2023-10-01,7.996939150928271
Verification workflow,2023-10-01,7.364284810809267
Web Client,2023-10-01,7.518093620480638
API,2023-11-01,12.176395313544104
Authentication/Authorization tools,2023-11-01,9.515834888274954
Build/CI/Installation,2023-11-01,6.610321803141054
CLI tooling,2023-11-01,20.64074279641125
Core,2023-11-01,21.540573766902448
Key Management Core / Secrets Backend,2023-11-01,10.848431474247755
Notification/Logging,2023-11-01,4.938593715563323
Policy/configuration,2023-11-01,15.918933573862226
Release pipeline,2023-11-01,2.3030332126804285
Signing workflow,2023-11-01,7.797103622622183
Verification workflow,2023-11-01,7.119864030247346
Web Client,2023-11-01,7.3977744646054
API,2023-12-01,11.809747542431014
Authentication/Authorization tools,2023-12-01,9.284638267319574
Build/CI/Installation,2023-12-01,6.465656152113009
CLI tooling,2023-12-01,20.015025729833773
Core,2023-12-01,20.879705354449495
Key Management Core / Secrets Backend,2023-12-01,10.590067975704567
Notification/Logging,2023-12-01,4.830579892984512
Policy/configuration,2023-12-01,15.46489803191528
Release pipeline,2023-12-01,2.259517735228207
Signing workflow,2023-12-01,7.602261784729353
Verification workflow,2023-12-01,6.883555580957949
Web Client,2023-12-01,7.2793808898683245
API,2024-01-01,11.454140032791098
Authentication/Authorization tools,2024-01-01,9.059058796952526
Build/CI/Installation,2024-01-01,6.324156481684794
CLI tooling,2024-01-01,19.40827706237198
Core,2024-01-01,20.23911249562405
Key Management Core / Secrets Backend,2024-01-01,10.3378575968578
Notification/Logging,2024-01-01,4.724928480950088
Policy/configuration,2024-01-01,15.023812369581478
Release pipeline,2024-01-01,2.2168244763907548
Signing workflow,2024-01-01,7.4122888499101345
Verification workflow,2024-01-01,6.655090214481415
Web Client,2024-01-01,7.162882079375022
API,2024-02-01,11.109240347383489
Authentication/Authorization tools,2024-02-01,8.838960002944212
Build/CI/Installation,2024-02-01,6.185753504965653
CLI tooling,2024-02-01,18.81992177348665
Core,2024-02-01,19.618173133043506
Key Management Core / Secrets Backend,2024-02-01,10.091653796565955
Notification/Logging,2024-02-01,4.621587810299132
Policy/configuration,2024-02-01,14.59530723387739
Release pipeline,2024-02-01,2.1749379004669804
Signing workflow,2024-02-01,7.227063149135962
Verification workflow,2024-02-01,6.434207618720592
Web Client,2024-02-01,7.04824770942298
API,2024-03-01,10.774726059103354
Authentication/Authorization tools,2024-03-01,8.624208726841422
Build/CI/Installation,2024-03-01,6.050379451395425
CLI tooling,2024-03-01,18.2494022741898
Core,2024-03-01,19.01628429414996
Key Management Core / Secrets Backend,2024-03-01,9.851313523674271
Notification/Logging,2024-03-01,4.520507341946187
Policy/configuration,2024-03-01,14.179023806406072
Release pipeline,2024-03-01,2.133842765300606
Signing workflow,2024-03-01,7.046466053765869
Verification workflow,2024-03-01,6.22065612134276
Web Client,2024-03-01,6.935447941608551
API,2024-04-01,10.45028444956313
Authentication/Authorization tools,2024-04-01,8.414675045407286
Build/CI/Installation,2024-04-01,5.9179680335599265
CLI tooling,2024-04-01,17.69617787861312
Core,2024-04-01,18.432861505684652
Key Management Core / Secrets Backend,2024-04-01,9.61669713389809
Notification/Logging,2024-04-01,4.4216376421649635
Policy/configuration,2024-04-01,13.77461350289236
Release pipeline,2024-04-01,2.093524116733679
Signing workflow,2024-04-01,6.870381899570229
Verification workflow,2024-04-01,6.014192403025651
Web Client,2024-04-01,6.824453415060258
API,2024-05-01,10.135612216749848
Authentication/Authorization tools,2024-05-01,8.210232192018472
Build/CI/Installation,2024-05-01,5.7884544147325805
CLI tooling,2024-05-01,17.159724291595698
Core,2024-05-01,17.867338226126314
Key Management Core / Secrets Backend,2024-05-01,9.387668308685692
Notification/Logging,2024-05-01,4.324930358412605
Policy/configuration,2024-05-01,13.381737681288056
Release pipeline,2024-05-01,2.053967283164885
Signing workflow,2024-05-01,6.698697912653082
Verification workflow,2024-05-01,5.814581220220844
Web Client,2024-05-01,6.715235238796389
API,2024-06-01,9.83041519148538
Authentication/Authorization tools,2024-06-01,8.010756479972162
Build/CI/Installation,2024-06-01,5.661775177126397
CLI tooling,2024-06-01,16.63953311180529
Core,2024-06-01,17.319165295542486
Key Management Core / Secrets Backend,2024-06-01,9.16409397601349
Notification/Logging,2024-06-01,4.230338195682732
Policy/configuration,2024-06-01,13.00006735820238
Release pipeline,2024-06-01,2.0151578702106816
Signing workflow,2024-06-01,6.531304137225579
Verification workflow,2024-06-01,5.62159513711865
Web Client,2024-06-01,6.607764984204908
API,2024-07-01,9.534408062424353
Authentication/Authorization tools,2024-07-01,7.816127227656313
Build/CI/Installation,2024-07-01,5.537868290840738
CLI tooling,2024-07-01,16.135111349922386
Core,2024-07-01,16.787810402319447
Key Management Core / Secrets Backend,2024-07-01,8.945844233067533
Notification/Logging,2024-07-01,4.137814893375666
Policy/configuration,2024-07-01,12.629282933420326
Release pipeline,2024-07-01,1.977081755467309
Signing workflow,2024-07-01,6.368093365184293
Verification workflow,2024-07-01,5.435014266509078
Web Client,2024-07-01,6.502014677643728
API,2024-08-01,9.24731410933282
Authentication/Authorization tools,2024-08-01,7.626226685538027
Build/CI/Installation,2024-08-01,5.416673083487692
CLI tooling,2024-08-01,15.645980961430284
Core,2024-08-01,16.27275756625298
Key Management Core / Secrets Backend,2024-08-01,8.732792270766407
Notification/Logging,2024-08-01,4.0473152026745325
Policy/configuration,2024-08-01,12.269073922278285
Release pipeline,2024-08-01,1.9397250833717716
Signing workflow,2024-08-01,6.208961067449305
Verification workflow,2024-08-01,5.254626019243647
Web Client,2024-08-01,6.39795679315938
API,2024-09-01,8.968864944398259
Authentication/Authorization tools,2024-09-01,7.440939964925772
Build/CI/Installation,2024-09-01,5.298130210483161
CLI tooling,2024-09-01,15.171678393568463
Core,2024-09-01,15.773506637497992
Key Management Core / Secrets Backend,2024-09-01,8.524814300081701
Notification/Logging,2024-09-01,3.958794864416186
Policy/configuration,2024-09-01,11.919138695672698
Release pipeline,2024-09-01,1.9030742601599209
Signing workflow,2024-09-01,6.0538053270180905
Verification workflow,2024-09-01,5.080224862012551
Web Client,2024-09-01,6.295564245322237
API,2024-10-01,8.69880026132903
Authentication/Authorization tools,2024-10-01,7.2601549684624125
